Nom du Graphe.Graphe    	Temps_BellmanFord	Temps_Dijkstra    	Moy d'Arcs/Graphe.Noeud 	Ratio
Graphe292        	21352000         	6678900          	149,3            	98255,1281       
Graphe293        	29096700         	6761900          	150,4            	148529,4409      
Graphe294        	26200500         	6739200          	152,7            	127437,2232      
Graphe295        	21808000         	6759200          	151,7            	99189,8269       
Graphe296        	22715800         	7043000          	156,2            	100343,6330      
Graphe297        	21464900         	6730500          	147,9            	99615,2851       
Graphe298        	30932700         	7047600          	160,0            	149253,8899      
Graphe299        	27227400         	7120000          	158,8            	126620,3770      
Graphe300        	18391800         	6824500          	152,1            	76045,9891       
Graphe301        	22464500         	7529900          	152,5            	97943,4613       
Graphe302        	19253200         	7033600          	154,1            	79290,4674       
Graphe303        	22503700         	6984400          	149,0            	104160,9599      
Graphe304        	30928900         	7245900          	148,3            	159748,6609      
Graphe305        	31673300         	7375900          	160,5            	151430,2320      
Graphe306        	32076500         	7468700          	159,3            	154482,1328      
Graphe307        	23087300         	7252800          	154,2            	102674,7073      
Graphe308        	26835900         	7331900          	150,3            	129728,1524      
Graphe309        	26960000         	7428900          	153,6            	127133,2433      
Graphe310        	25091300         	7599300          	163,4            	107077,0680      
Graphe311        	24228600         	8520600          	147,5            	106475,3119      
Graphe312        	31470700         	8156900          	164,8            	141508,7992      
Graphe313        	27101100         	8250000          	149,6            	125985,9652      
Graphe314        	34515500         	7952700          	162,9            	163072,7721      
Graphe315        	26472300         	7693100          	160,8            	116805,7765      
Graphe316        	32741500         	7623400          	154,8            	162220,1060      
Graphe317        	30330200         	8007500          	168,7            	132300,4849      
Graphe318        	25617000         	8132900          	164,4            	106363,1041      
Graphe319        	28514200         	7977100          	152,7            	134525,2342      
Graphe320        	40363200         	8340100          	174,8            	183239,5323      
Graphe321        	26017900         	8046700          	166,0            	108248,1277      
Graphe322        	27721600         	8165000          	165,5            	118173,3788      
Graphe323        	29838600         	9289300          	171,8            	119639,6134      
Graphe324        	34398600         	8958800          	162,6            	156466,9610      
Graphe325        	37222800         	8815100          	158,6            	179064,2848      
Graphe326        	37670300         	8887500          	159,4            	180608,3257      
Graphe327        	27224100         	9242800          	156,2            	115105,5103      
Graphe328        	39377300         	9090300          	165,3            	183241,2364      
Graphe329        	39726800         	8237100          	162,7            	193496,7735      
Graphe330        	33478800         	8616300          	172,4            	144211,0137      
Graphe331        	32495600         	8811000          	169,2            	140008,7304      
Graphe332        	26406800         	8527200          	162,1            	110274,1515      
Graphe333        	46263000         	9476900          	169,1            	217546,2690      
Graphe334        	36405100         	9526000          	169,4            	158701,3706      
Graphe335        	36636200         	9652000          	169,3            	159412,3131      
Graphe336        	40902700         	8602000          	163,0            	198174,5948      
Graphe337        	47498200         	8870300          	168,6            	229107,3221      
Graphe338        	31928400         	8716800          	163,7            	141790,9772      
Graphe339        	35460100         	9318400          	180,9            	144537,0036      
Graphe340        	38970500         	10276400         	172,3            	166537,3893      
Graphe341        	34028600         	10271500         	182,9            	129909,2131      
Graphe342        	50274100         	10382100         	174,4            	228778,9540      
Graphe343        	48060300         	9397400          	170,4            	226921,9731      
Graphe344        	35548700         	9366600          	177,7            	147370,4121      
Graphe345        	34811600         	10536000         	176,9            	137241,8977      
Graphe346        	50268400         	10312900         	173,9            	229735,5429      
Graphe347        	34741400         	10695000         	175,9            	136700,7151      
Graphe348        	40637300         	10508600         	175,1            	172065,6768      
Graphe349        	38780100         	10156900         	173,4            	165063,3063      
Graphe350        	46744100         	9716200          	179,8            	205947,8376      
Graphe351        	36163300         	9588900          	175,6            	151305,0727      
Graphe352        	35929200         	9679700          	175,0            	149982,6167      
Graphe353        	39757600         	10668700         	178,4            	163090,4245      
Graphe354        	40869300         	10910600         	176,6            	169629,6911      
Graphe355        	46513400         	11031700         	174,1            	203786,5906      
Graphe356        	32401900         	10695400         	169,9            	127746,1656      
Graphe357        	48146000         	10027900         	177,9            	214280,7601      
Graphe358        	39877100         	11241000         	179,3            	159740,2380      
Graphe359        	35601000         	10211100         	181,0            	140245,6415      
Graphe360        	55201300         	10388800         	183,9            	243659,5972      
